Date,AP005,BR007,DL017,DL025,DL030,GJ001,PB001,TG001,TG002,TG003,TG004,TG005,TG006
2018-01-05,3.35,1.44,0.0,1.0,0.0,9.93,,0.51,15.53,0.47,11.98,2.87,2.06
2018-01-06,3.95,1.32,0.0,1.69,0.0,11.11,,0.33,16.92,0.8,7.87,4.26,17.34
2018-01-07,3.5,1.31,0.0,0.89,0.0,10.21,,0.28,13.6,0.68,1.46,3.79,5.56
2018-01-08,2.42,1.98,0.0,1.34,0.0,6.42,,0.11,12.92,0.65,0.43,2.72,0.53
2018-01-09,0.8,1.61,0.0,2.71,0.0,4.21,,0.1,13.56,0.68,0.54,1.65,0.57
2018-01-10,1.99,1.56,0.0,2.8,0.0,8.0,,0.06,13.33,0.82,0.72,1.73,0.68
2018-01-11,2.61,1.46,0.0,2.8,0.0,18.01,0.0,0.06,15.88,0.57,14.88,2.63,4.98
2018-01-12,2.76,1.31,0.0,5.55,0.0,16.31,5.61,0.12,18.38,0.76,8.0,8.76,3.92
2018-01-13,1.74,1.31,0.0,16.94,0.0,13.48,9.68,0.04,17.56,0.76,3.41,4.29,3.49
2018-01-14,2.3,1.0,0.0,6.83,0.0,10.19,8.75,0.05,12.1,0.82,10.17,5.69,3.6
2018-01-15,1.9,1.42,0.0,5.03,0.0,7.45,7.29,0.14,8.33,0.31,0.72,1.27,2.27
2018-01-16,1.77,2.39,0.0,1.59,0.0,13.33,10.69,0.07,11.0,0.43,1.14,1.71,54.98
2018-01-17,1.84,2.32,0.0,1.27,0.0,13.5,7.3,0.11,10.65,0.42,0.46,2.93,10.78
2018-01-18,1.79,1.91,0.0,0.21,0.0,9.53,6.48,0.26,17.77,1.1,2.94,5.34,20.72
2018-01-19,2.23,2.85,0.0,0.0,0.0,9.84,5.88,0.08,14.85,0.8,6.16,2.42,13.12
2018-01-20,2.66,1.72,0.0,0.0,0.0,24.42,6.38,0.47,17.73,0.79,11.4,3.56,29.49
2018-01-21,2.03,1.4,0.0,0.0,0.0,48.76,7.13,0.12,11.57,0.63,3.7,3.74,12.49
2018-01-22,2.11,1.98,0.0,0.0,0.0,4.11,6.37,0.08,10.08,0.55,0.41,1.7,13.04
2018-01-23,3.01,2.73,0.0,0.0,0.0,7.73,5.88,0.38,9.5,0.45,0.61,1.53,14.31
2018-01-24,2.715,2.36,0.0,0.0,0.0,18.66,5.28,0.91,8.77,0.39,9.13,1.13,6.67
2018-01-25,2.42,1.27,0.0,1.05,0.0,29.73,6.53,0.96,9.72,0.57,20.18,2.09,8.39
2018-01-26,2.125,0.8,0.0,2.39,0.0,20.09,5.08,0.04,9.59,0.57,10.79,2.29,23.31
