Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram,Amaravati
2018-01-08,101.93,4.26,14.31,17.15,9.17,9.28,61.32,7.53,12.79,,15.68,6.81,12.81
2018-01-09,89.53,16.6,20.33,21.82,8.57,10.51,52.83,7.97,10.25,,11.92,6.16,17.77
2018-01-10,103.2,3.16,10.64,18.98,8.8,12.71,45.91,6.53,13.18,,14.62,7.43,13.4
2018-01-11,92.55,4.91,11.52,17.4,9.82,17.13,66.87,7.02,15.06,,19.33,5.36,35.39
2018-01-12,95.48,5.74,12.57,24.03,9.29,17.29,70.52,8.32,15.88,5.39,23.61,4.72,36.01
2018-01-13,106.65,3.51,19.38,24.28,10.86,20.89,50.29,9.71,16.11,3.32,15.6,5.48,14.36
2018-01-14,86.78,3.2,20.61,22.47,9.76,13.76,44.99,8.37,14.33,5.71,12.79,4.52,4.83
2018-01-15,83.85,3.35,13.78,19.12,8.7,7.43,53.83,6.76,11.01,3.24,13.37,6.34,8.75
2018-01-16,127.99,3.47,12.31,19.06,9.81,9.12,59.01,8.21,17.97,10.0,10.78,5.81,4.7
2018-01-17,119.07,3.58,26.45,14.48,10.82,10.5,49.61,7.14,12.76,3.27,8.48,7.96,6.43
2018-01-18,100.99,3.66,23.22,21.02,9.9,13.02,43.97,8.63,14.01,5.07,12.92,5.14,7.21
2018-01-19,128.78,4.22,29.85,22.27,9.96,17.29,45.92,7.04,10.54,3.64,10.84,8.08,8.83
2018-01-20,100.85,4.32,34.03,14.45,10.46,23.32,47.9,6.84,14.32,3.89,12.27,8.59,30.48
2018-01-21,113.34,3.97,33.72,16.91,9.56,13.76,47.68,8.14,11.72,3.09,10.02,7.23,11.04
2018-01-22,124.11,4.24,13.69,21.64,8.87,9.28,49.05,7.99,12.21,2.76,12.44,5.24,10.32
2018-01-23,91.67,4.59,9.92,14.25,9.71,6.93,47.83,6.91,13.74,3.24,8.79,6.63,10.18
2018-01-24,100.55,4.59,12.56,11.9,10.27,9.52,49.66,6.21,12.44,3.05,10.4,5.65,7.22
2018-01-25,124.43,4.19,9.64,6.84,8.1,16.47,50.08,7.58,11.14,3.1,9.51,5.66,31.01
2018-01-26,96.19,4.24,6.7,7.99,8.58,19.6,48.81,7.61,9.839999999999998,2.5,10.99,7.52,8.67
2018-01-27,137.02,4.21,7.26,7.94,9.7,13.62,45.88,6.59,8.54,5.11,14.81,9.01,7.62
2018-01-28,156.59,4.28,6.72,10.26,8.36,9.02,29.76,7.24,18.12,4.04,17.77,6.7,7.49
2018-01-29,125.54,4.17,8.17,12.61,9.83,8.69,31.86,11.87,9.01,3.4,18.37,6.18,12.16
2018-01-30,147.58,3.89,11.98,14.47,7.78,16.9,35.29,5.29,21.3,3.52,17.4,4.95,12.45
2018-01-31,151.92,4.07,17.29,11.35,8.44,20.33,37.73,7.26,11.28,2.97,13.34,7.95,23.68
2018-02-01,168.44,5.01,14.37,18.67,8.27,22.37,33.66,8.99,2.45,3.48,10.94,5.4,8.97
2018-02-02,106.29,4.38,8.5,12.25,9.1,16.85,37.48,6.69,3.83,2.56,11.35,6.28,10.61
2018-02-03,146.13,6.48,6.93,14.2,12.83,9.51,39.67,7.93,9.44,2.79,21.12,8.15,5.86
2018-02-04,146.25,12.74,5.65,13.2,9.75,9.46,34.47,8.47,11.92,2.66,16.14,7.65,8.16
2018-02-05,142.83,3.37,6.64,14.77,10.79,8.16,34.57,9.21,11.79,3.22,14.37,7.87,8.99
2018-02-06,121.22,3.52,8.16,14.94,11.05,9.68,36.39,12.27,11.14,2.82,20.56,7.27,5.86
2018-02-07,121.57,3.22,6.16,14.58,9.24,13.6,36.33,10.53,9.09,4.03,17.89,4.22,5.25
2018-02-08,97.56,4.2,6.61,13.8,12.08,13.52,28.47,12.6,10.01,3.38,12.54,5.42,17.9
2018-02-09,125.46,4.36,5.6,14.35,14.02,13.92,37.08,11.09,9.03,7.24,12.96,6.25,8.25
2018-02-10,120.94,6.63,6.64,13.77,13.01,13.07,39.86,12.14,8.76,4.55,11.43,3.92,5.87
2018-02-11,151.24,3.42,6.47,14.45,13.29,8.55,38.42,10.05,10.67,5.85,11.92,4.78,7.29
2018-02-12,110.86,2.99,5.97,8.58,12.54,6.61,32.37,9.75,9.29,2.83,10.6,27.65,7.62
2018-02-13,104.81,1.84,7.42,10.25,12.22,6.53,36.21,7.11,10.64,2.75,9.0,6.77,6.89
2018-02-14,59.29,1.61,7.06,9.03,10.56,8.3,30.96,1.71,8.12,2.63,9.26,6.77,12.91
2018-02-15,84.2,1.47,11.88,11.47,13.72,12.88,37.8,,10.5,2.68,12.55,5.26,11.81
2018-02-16,124.9,2.79,9.95,12.49,15.47,17.02,33.92,,10.83,5.1,10.87,4.7,25.39
2018-02-17,130.27,8.54,7.69,15.01,15.7,20.36,35.52,,10.53,2.93,14.71,7.58,17.62
2018-02-18,133.39,5.69,8.49,12.17,15.42,10.27,54.87,,10.45,3.1,9.36,7.27,9.53
2018-02-19,127.725,4.22,9.71,15.25,15.91,7.39,50.76,,9.74,3.54,12.98,7.37,8.21
2018-02-20,122.06,3.15,9.94,14.53,19.75,6.36,42.64,,10.34,3.72,7.55,7.71,10.34
2018-02-21,123.47,3.36,10.16,13.97,19.24,7.37,39.32,,10.01,4.71,10.72,6.9,11.02
2018-02-22,108.4,3.19,10.97,15.89,20.89,8.69,38.02,1.84,17.08,4.93,10.53,9.69,11.81
2018-02-23,127.68,2.94,8.95,16.26,21.32,8.18,38.49,1.69,16.64,4.66,9.91,8.05,10.87
2018-02-24,109.6,2.35,9.72,15.09,21.7,8.22,37.43,1.54,29.37,4.14,17.05,8.96,10.82
2018-02-25,91.52,2.34,12.04,14.34,14.64,7.54,38.53,,24.09,3.895,8.32,8.775,9.18
2018-02-26,123.83,2.61,12.92,9.64,11.36,9.89,27.21,,21.12,3.65,10.13,8.59,13.97
